channel_id,title,subscriber_count,total_views,video_count,country,niche,channel_age_months,avg_views,median_views,std_views,total_video_views,avg_likes,total_likes,avg_comments,total_comments,avg_engagement_rate,median_engagement_rate,er_stability,videos_collected,view_stability,view_consistency,posts_per_week,subscriber_view_ratio,size_band,er_band,match_quality,roi_band
UC-HOWQ4mntNT2nJPLrkLp2Q,King4Motivation,87300,94472323,268,US,health,0,1181027.2,42156,3614711.2812330695,35430816,27119.133333333335,813574,362.1,10863,0.025619018850215128,0.024680839314481826,0.009378579,30,3.060647731555495,0.16666666666666666,3.28125,10,micro,medium,1,2
UCzoP7l5bzSzi2gUUNn0I79w,Pfizer,87200,54260539,1075,US,health,200.36666666666667,119633.6,500,450510.0902965514,3589008,7.233333333333333,217,0.3333333333333333,10,0.008971722,0.006181564,0.013418152311571396,30,3.7657173618380586,0.2,4.468085106382978,1.3719292209951721,micro,low,1,1
UCZ57VW_m_r8mE977nI9g8Iw,British Red Cross,86000,46024385,473,GB,health,227.46666666666667,285.76666666666665,173.5,351.5138377943598,8573,5.933333333333334,178,0.36666666666666664,11,0.017119878,0.013471859588047577,0.015579894396420399,30,1.2257834631908398,0.6,2.0388349514563107,0.00332283,micro,low,1,0
UCcu5m4OXFqKCqL2HaYREhcg,Apollo 24x7 ,85100,69326201,1371,IN,health,0,514.0333333333333,265.5,527.6858053760801,15421,7.166666666666667,215,0.5,15,0.035272774858606075,0.015684713,0.034250966153955634,30,1.024566316826251,0.5,2.5,0.006040274,micro,medium,1,1
UCnbCIpMq4UH4T7V7RRKVuZQ,Dr Thomas Smithyman ,84200,3985057,117,US,health,86,116408.66666666667,26943.5,184602.05827584417,3492260,4348.633333333333,130459,193.56666666666666,5807,0.044861933,0.043667368,0.013285392853175216,30,1.585796640105869,0.36666666666666664,0.47404063205417607,1.3825093130327035,micro,medium,1,2
UCgM5ATbDAe9BSkgOQsEfV_w,TheCivDiv,83800,19111783,1008,US,health,0,24478.066666666666,11696,38815.115832608964,734342,912.7333333333333,27382,182.56666666666666,5477,0.059179831,0.061044769,0.020617371,30,1.585645251968034,0.5,11.666666666666666,0.2920975485574953,micro,high,1,2
UCGETKkDaF3yxRddqRQhzUrw,PsychotherapyNet,82000,12553817,483,US,health,210.66666666666666,720.5666666666667,308.5,711.4991789237675,21617,22.3,669,0.9,27,0.029428870534975206,0.026661602228352857,0.015449119,30,0.9860477372251594,0.43333333333333335,2.8000000000000003,0.008787291,micro,medium,1,1
UCR5_ez7c5rhC6mIpcs6tAWg,SchizophrenicNYC,81800,37439118,723,US,health,117.93333333333334,12923.833333333334,12589.5,6728.958514911673,387715,663.3333333333334,19900,50.3,1509,0.057341516,0.046079265,0.030609140845445373,30,0.5206224592124984,0.7666666666666667,6.176470588235294,0.15799114110259452,micro,high,1,2
UCkOyAe5D7S-E6XUARPPslJA,Psychiatrist Prathap,81700,4664921,183,IN,health,88.16666666666667,8310.766666666666,1819.5,18192.88176957156,249323,36.93333333333333,1108,0.6666666666666666,20,0.017834288596807434,0.011350711134848574,0.021852995,30,2.1888104538030295,0.16666666666666666,0.8108108108108109,0.10172172515228292,micro,low,0,0
UCvEEAkomQMQuXzpHKCalTiw,Radha Shrivastava,81700,5623353,113,IN,health,0,3618.133333333333,930,7489.955442680106,108544,70.16666666666667,2105,14.966666666666667,449,0.045508098,0.036290563,0.038543869,30,2.0695439357526038,0.4,0.7191780821917808,0.044285056,micro,medium,1,1
